state,county,fips,trump16,trump16_pct,clinton16,clinton16_pct,otherpres16,otherpres16_pct,romney12,romney12_pct,obama12,obama12_pct,otherpres12,otherpres12_pct,senaterace16,houserace16,govrace16,total_population,cvap,voterturnout16_pct,voterturnout12_pct,voterturnout_pct_diff,white_pct,nonwhite_pct,black_pct,hispanic_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,rural_pct,RepWon16,RepWon12,Repmargin12,Repmargin16
Georgia,Cherokee,13057,80649,71.98040038,25231,22.51903287,6163,5.500566747,76514,77.90063124,19841,20.20057015,1865,1.898798615,Race,Race,No Race,230629,158990,70.47172778,61.77747028,8.6942575,80.21237572,19.78762428,6.053445143,9.889909769,8.878328398,50.75857763,39.62164342,11.88141994,72586,5.522068347,10.23939494,64.50312397,17.10272177,1,1,57.70006108999999,49.46136751
Georgia,Clarke,13059,12717,28.27508004,29603,65.8195482,2656,5.905371754,13815,34.22265161,25431,62.99791914,1122,2.779429251,Race,Race,No Race,122037,92700,48.51779935,43.54692557,4.970873786,55.90107918,44.09892082,27.14750445,10.5197604,10.06252202,52.4496669,54.98906069,9.597089407,33116,8.619281046,13.78711975,59.2467407,5.859622667,0,0,-28.77526753,-37.54446816
Georgia,Clay,13061,566,44.46190102,697,54.75255302,10,0.785545954,537,38.30242511,862,61.48359486,3,0.213980029,Race,Race,No Race,3068,2315,54.98920086,60.56155508,-5.572354212,29.13950456,70.86049544,62.32073012,5.052151239,2.640156454,52.05345502,37.05997392,23.89178618,22120,18.94013739,17.65834933,92.56238004,100,0,0,-23.181169749999995,-10.290652000000001
Georgia,Clayton,13063,12645,13.61741996,78220,84.23523837,1994,2.147341669,14164,14.74387667,81479,84.8147647,424,0.441358635,Race,Race,No Race,270269,173345,53.5688944,55.41953907,-1.850644668,11.89185589,88.10814411,67.15235562,13.13728175,14.18808668,52.7441179,46.47517843,8.178148437,42470,12.17885449,16.4394576,80.97126586,0.887735907,0,0,-70.07088802999999,-70.61781841000001
Georgia,Clinch,13065,1727,70.34623218,686,27.94297352,42,1.710794297,1598,64.64401294,852,34.46601942,22,0.889967638,Race,Race,No Race,6814,4820,50.93360996,51.28630705,-0.352697095,66.09920751,33.90079249,26.7977693,4.490754329,2.876430878,49.83856765,43.36659818,15.13061344,24848,11.27258445,23.56399819,85.61736771,60.4295381,1,1,30.177993519999994,42.403258660000006
Georgia,Cobb,13067,152912,46.22225447,160121,48.4013917,17786,5.376353837,171722,55.37347315,133124,42.92716274,5270,1.699364109,Race,Race,No Race,728388,487960,67.79633577,63.55356996,4.2427658,53.82076586,46.17923414,25.90830711,12.61978506,15.67928082,51.66271273,40.9728057,10.58295853,68818,6.77931151,8.810853586,55.01419631,0.246193019,0,1,12.446310410000002,-2.179137229999995
Georgia,Coffee,13069,9588,68.90406037,4094,29.4214876,233,1.67445203,9248,63.98228864,5057,34.98685485,149,1.03085651,Race,Race,No Race,43042,30690,45.34050179,47.09677419,-1.756272401,58.9563682,41.0436318,28.01682078,11.04270248,5.871009711,48.82905069,42.55610799,12.57376516,34536,7.271877009,21.25262624,86.91588785,66.58324677,1,1,28.99543379,39.48257277
Georgia,Colquitt,13071,9898,72.65120376,3463,25.41837933,263,1.930416911,9243,69.3502401,3973,29.80942377,112,0.840336134,Race,Race,No Race,46002,29675,45.91069924,44.91322662,0.99747262,56.92361202,43.07638798,22.13164645,18.55354115,10.59953915,50.17825312,42.42206861,13.92330768,33968,7.736865965,27.45672618,87.07578029,58.94984395,1,1,39.54081633,47.23282443
Georgia,Columbia,13073,43085,66.54773489,18887,29.17226573,2771,4.279999382,41765,70.88064084,16451,27.91948815,707,1.199871018,Race,Race,No Race,139904,99705,64.93455694,59.09733714,5.837219798,70.72063701,29.27936299,16.11891011,6.04342978,6.969779277,51.22155192,41.11533623,11.65584973,71962,6.872962184,8.148455771,64.90022076,16.22774137,1,1,42.96115269,37.37546916
Georgia,Cook,13075,4176,68.94502229,1753,28.94172032,128,2.113257388,3935,65.24622782,2042,33.85839828,54,0.895373902,Race,Race,No Race,17103,12215,49.58657388,49.37372084,0.21285305,65.1406186,34.8593814,27.97170087,5.829386657,2.613576566,51.39449219,41.29684851,14.70502251,35199,5.373013736,23.6188591,86.16159798,59.41203811,1,1,31.38782954,40.003301969999995
Georgia,Coweta,13077,42533,68.88492995,16583,26.8572354,2629,4.257834642,39653,71.37611376,15168,27.30267303,734,1.321213212,Race,Race,No Race,135625,96460,64.01098901,57.59382127,6.417167738,71.77290323,28.22709677,17.4075576,6.630046083,5.696589862,51.21843318,39.87907834,12.46820276,65244,6.569237238,11.39373602,71.91498881,32.93275839,1,1,44.073440729999994,42.02769455
Georgia,Crawford,13079,3635,70.22797527,1421,27.45363215,120,2.318392581,3368,65.6146503,1706,33.23592441,59,1.149425287,Race,Race,No Race,12483,9700,53.36082474,52.91752577,0.443298969,73.68421053,26.31578947,22.99126812,0.793078587,1.465993752,48.74629496,35.32003525,16.62260675,40459,9.636740072,19.45438283,86.88506261,100,1,1,32.37872588999999,42.77434312
Georgia,Crisp,13081,4549,60.55644302,2837,37.76624068,126,1.677316294,4182,56.54407788,3167,42.82044348,47,0.635478637,Race,Race,No Race,23061,17040,44.08450704,43.40375587,0.680751174,50.76536143,49.23463857,43.08139283,3.247907723,2.649494818,53.23706691,39.89852999,15.45032739,31672,13.93088553,20.34646292,84.92293505,47.02845685,1,1,13.723634400000002,22.79020234
Georgia,Dade,13083,5051,80.91957706,965,15.45978853,226,3.620634412,4471,74.26910299,1411,23.43853821,138,2.292358804,Race,Race,No Race,16356,13035,47.88645953,46.18335251,1.70310702,93.9899731,6.010026901,0.641966251,2.133773539,2.268280753,51.14942529,37.06285155,16.94790902,43463,5.848804757,19.91757011,86.20195323,72.12769795,1,1,50.83056477999999,65.45978853
Georgia,Dawson,13085,9900,84.1478963,1448,12.30769231,417,3.54441139,8847,86.36274893,1241,12.11440843,156,1.52284264,Race,Race,No Race,22939,17615,66.7896679,58.15498155,8.634686347,93.09908889,6.900911112,0.693142683,3.9408867,3.417760146,50.61249401,35.02768211,18.19172588,59265,7.470334412,13.5214905,70.15925721,80.30900134,1,1,74.2483405,71.84020398999999
Georgia,Decatur,13087,6020,58.52615205,4124,40.09333074,142,1.380517208,5824,55.54601812,4591,43.78636147,70,0.66762041,Race,Race,No Race,27237,19875,51.75345912,52.75471698,-1.001257862,51.19139406,48.80860594,41.87318721,5.628373169,2.834379704,51.46675478,40.06314939,15.49730146,33514,6.650339111,20.49271494,83.11088867,56.47582789,1,1,11.759656649999997,18.43282131
Georgia,DeKalb,13089,51468,16.35166176,251370,79.86160753,11919,3.786730716,64392,21.02492939,238224,77.78361876,3649,1.191451847,Race,Race,No Race,723902,489315,64.32604764,62.59056027,1.735487365,29.19055342,70.80944658,53.62908239,8.726733729,16.27720327,52.45378518,41.29868408,10.33206152,52623,9.764153351,11.43375494,58.25545813,0.263046454,0,0,-56.75868937,-63.50994577
Georgia,Dodge,13091,5021,71.6364674,1839,26.23769439,149,2.125838208,5214,67.42532006,2442,31.57894737,77,0.995732575,Race,Race,No Race,20995,16285,43.039607,47.48541603,-4.445809027,65.33936652,34.66063348,27.84948797,3.481781377,1.890926411,47.09692784,37.35651346,15.00833532,35544,10.52752294,18.49758787,86.46450724,72.22884933,1,1,35.84637269,45.39877301
Georgia,Dooly,13093,1951,50.55713916,1872,48.50997668,36,0.932884167,1985,46.18427175,2285,53.16426245,28,0.651465798,Race,Race,No Race,14089,10955,35.22592424,39.23322684,-4.007302602,42.59351267,57.40648733,48.88210661,7.268081482,3.988927532,45.41131379,34.14720704,15.60792107,33319,9.417356099,25.48980207,88.7370642,53.66671136,1,0,-6.979990700000002,2.0471624799999972
Georgia,Dougherty,13095,10232,30.01730865,23311,68.38677502,544,1.595916332,11449,30.19330679,26295,69.34518315,175,0.461510061,Race,Race,No Race,92326,68025,50.10951856,55.74274164,-5.63322308,26.48116457,73.51883543,68.31445097,2.542079154,2.356865888,53.65877434,44.0331001,13.4783268,33605,17.02536972,17.83994773,80.23419768,13.95971025,0,0,-39.151876359999996,-38.36946637
Georgia,Douglas,13097,24817,42.98209152,31005,53.69947002,1916,3.318438463,26241,47.48041327,28441,51.4610889,585,1.058497838,Race,Race,No Race,138283,95670,60.35120728,57.76837044,2.582836835,44.61285914,55.38714086,42.89319728,8.999660117,8.380639703,52.06424506,41.90247536,10.34978992,57384,9.039715471,11.74355495,73.85232926,15.75719583,0,0,-3.9806756300000004,-10.717378500000002
Georgia,Early,13099,2552,53.33333333,2168,45.30825496,65,1.358411703,2557,47.76760695,2765,51.65327854,31,0.579114515,Race,Race,No Race,10480,7760,61.66237113,68.98195876,-7.319587629,46.45038168,53.54961832,50.2480916,2.061068702,1.498091603,53.98854962,38.94083969,18.33969466,28599,7.880567792,20.22022022,85.92878593,65.95203488,1,0,-3.885671590000001,8.025078370000003
Georgia,Echols,13101,1007,85.19458545,156,13.19796954,19,1.607445008,917,83.2123412,173,15.69872958,12,1.08892922,Race,Race,No Race,4025,2415,48.94409938,45.63146998,3.3126294,63.50310559,36.49689441,2.037267081,29.71428571,14.80745342,52.52173913,42.43478261,11.13043478,35354,7.035445757,33.0332681,92.13307241,100,1,1,67.51361161999999,71.99661591
Georgia,Effingham,13103,17874,76.19575411,4853,20.6880382,731,3.11620769,15596,74.92313605,4947,23.76537279,273,1.311491161,Race,Race,No Race,55852,39795,58.94710391,52.3080789,6.639025003,79.81450978,20.18549022,12.98252525,3.681157344,2.710735515,50.3061663,41.83914632,10.58511781,62820,5.99014921,13.79790553,81.72069964,67.05263158,1,1,51.157763259999996,55.507715909999995
Georgia,Elbert,13105,5292,66.25766871,2539,31.78915738,156,1.953173908,4859,59.67088297,3181,39.06422694,103,1.26489009,Race,Race,No Race,19394,14780,54.03924222,55.0947226,-1.055480379,63.78261318,36.21738682,30.34443642,5.424358049,2.242961741,52.38733629,36.18644942,18.88212849,35739,8.292743849,21.53149138,88.30956625,70.61886343,1,1,20.606656030000003,34.468511330000005
Georgia,Emanuel,13107,5335,67.87531807,2435,30.97964377,90,1.145038168,5100,63.09538538,2927,36.21180255,56,0.692812075,Race,Race,No Race,22723,16910,46.48137197,47.80011827,-1.318746304,59.79404128,40.20595872,33.82915988,4.466839766,0.976983673,50.86036175,41.21814901,15.63173877,31522,11.54764489,22.17429399,88.28604165,66.88202496,1,1,26.88358283,36.89567430000001
Georgia,Evans,13109,2404,66.53750346,1130,31.27594797,79,2.186548575,2268,63.65422397,1268,35.58798765,27,0.757788381,Race,Race,No Race,10733,7545,47.88601723,47.22332671,0.662690524,56.92723377,43.07276623,29.46985931,11.64632442,4.146091494,53.06997112,39.13165005,15.71787944,40594,7.849462366,22.9464536,84.90328007,61.28181818,1,1,28.066236319999994,35.26155548999999
Georgia,Fannin,13111,9632,81.54419235,1923,16.28005418,257,2.175753471,7857,78.43665768,2028,20.24558251,132,1.317759808,Race,Race,No Race,24017,19625,60.18853503,51.04203822,9.146496815,95.48653037,4.513469626,0.195694716,2.011075488,1.869509098,51.50934755,28.73381355,25.486114,39011,9.227985525,16.9798879,82.27827234,100,1,1,58.19107517,65.26413817
Georgia,Fayette,13113,35048,57.53779981,23284,38.22500944,2581,4.237190747,38075,65.00990302,19736,33.6975823,757,1.292514684,Race,Race,No Race,109495,78815,77.28604961,74.31072765,2.975321956,65.00479474,34.99520526,20.74158637,6.989360245,9.227818622,51.61970866,36.73227088,16.03543541,81689,6.345116947,5.425198027,54.22344805,18.17823529,1,1,31.312320719999995,19.312790370000002
Georgia,Floyd,13115,24114,69.67753121,9159,26.4649792,1335,3.857489598,22733,69.24670261,9640,29.36428158,456,1.389015809,Race,Race,No Race,96199,68655,50.40856456,47.81734761,2.591216954,71.66706515,28.33293485,14.50222975,10.30156239,6.772419672,51.27911933,40.31642741,15.50431917,42955,9.283897256,20.26663309,80.19926652,36.82216016,1,1,39.88242103,43.212552009999996
Georgia,Forsyth,13117,69851,71.11615642,23462,23.88694882,4908,4.996894758,65908,80.64014878,14571,17.82799672,1252,1.531854498,Race,Race,No Race,203841,129230,76.00479765,63.24460265,12.760195,76.42476244,23.57523756,2.841430331,9.380350371,14.74041042,50.41527465,39.7010415,11.09148797,91842,4.845947044,7.754130987,51.72979114,9.921885238,1,1,62.81215206,47.229207599999995
Georgia,Franklin,13119,7054,82.96871324,1243,14.62008939,205,2.411197365,6114,78.76835867,1499,19.31203298,149,1.919608348,Race,Race,No Race,22188,16770,50.69767442,46.2850328,4.412641622,84.28429782,15.71570218,9.460068505,4.308635298,3.177393186,51.06814494,37.56985758,19.15449793,37298,7.919770774,23.41646873,87.36474004,88.92863612,1,1,59.45632569,68.34862385
Georgia,Fulton,13121,117783,27.30307308,297051,68.85887745,16557,3.838049473,137124,34.50415563,255470,64.28325193,4819,1.212592442,Race,Race,No Race,996757,699145,61.7026511,56.84271503,4.859936065,40.25755525,59.74244475,43.56307505,7.419360988,12.52060432,51.4998139,41.8187181,10.39380712,58851,8.90015668,8.677322843,50.19390623,1.077688981,0,0,-29.779096300000006,-41.55580436999999
Georgia,Gilmer,13123,10477,82.0245831,1965,15.38401315,331,2.591403742,8926,81.012888,1958,17.77092031,134,1.216191686,Race,Race,No Race,28956,21470,59.49231486,51.3181183,8.174196553,86.05470369,13.94529631,0.490399226,10.94419119,6.913938389,49.80314961,32.75659621,21.64318276,43775,7.750369621,19.65109573,82.16070742,87.64315001,1,1,63.24196769,66.64056995
Georgia,Glascock,13125,1235,88.84892086,138,9.928057554,17,1.223021583,1135,85.14628657,176,13.20330083,22,1.650412603,Race,Race,No Race,3053,2285,60.83150985,58.33698031,2.49452954,87.585981,12.414019,6.780216181,1.539469374,0.655093351,51.1627907,36.81624632,16.90140845,43884,6.854256854,21.42166344,91.7794971,100,1,1,71.94298574,78.920863306
